Black Box Wine 3L	wine	UNKNOWN	Uptown Store (58).JPEG
Black Box Wine 5L	wine	UNKNOWN	Uptown Store (58).JPEG
Bota Box 3L	wine	UNKNOWN	Uptown Store (58).JPEG
Liqueur Bottle 750ml (assorted)	spirits	UNKNOWN	Uptown Store (58).JPEG
Franzia Boxed Wine 5L	wine	UNKNOWN	Uptown Store (60).JPEG
Peach Schnapps 750ml	spirits	BREAKTHRU	Uptown Store (60).JPEG
Spiced Rum 750ml (assorted)	spirits	UNKNOWN	Uptown Store (60).JPEG
Sake 750ml	spirits	UNKNOWN	Uptown Store (60).JPEG
Mini Spirit Bottle 50ml (assorted)	spirits	UNKNOWN	Uptown Store (60).JPEG
Doritos Nacho Cheese Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Doritos Cool Ranch Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Doritos Flamin Hot Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Ruffles Cheddar & Sour Cream Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Cheetos Crunchy Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Cheetos Flamin Hot Fries Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Chesters Hot Fries Large Bag	snack chip	EBY-BROWN	Uptown Store (61).JPEG
Tostitos Original Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Tostitos Hint of Lime Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Smartfood White Cheddar Popcorn Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Fritos Scoops Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Fritos Original Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Munchos Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Cheetos Fries Bag	snack chip	EBY-BROWN	Uptown Store (62).JPEG
Pepsi 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Coca-Cola 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Sprite 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Mountain Dew 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Crush Orange 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Squirt 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Polar Seltzer 1L Bottle	water	KEHE	Uptown Store (63).JPEG
Canada Dry Ginger Ale 2L Bottle	CSD	COKE/PEPSI DSD	Uptown Store (63).JPEG
Lucky Charms Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Cocoa Pebbles Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Fruity Pebbles Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Reese's Puffs Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Special K Vanilla Almond Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Special K Red Berries Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Frosted Flakes Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Cheerios Cereal Box	canned goods	EBY-BROWN	Uptown Store (64).JPEG
Oreo Cookies Family Size	snack candy	EBY-BROWN	Uptown Store (65).JPEG
Double Stuf Oreo Cookies	snack candy	EBY-BROWN	Uptown Store (65).JPEG
Ritz Crackers Box	snack chip	EBY-BROWN	Uptown Store (65).JPEG
Wheat Thins Box	snack chip	EBY-BROWN	Uptown Store (65).JPEG
Saltine Crackers Box	snack chip	EBY-BROWN	Uptown Store (65).JPEG
Honey Maid Graham Crackers Box	snack candy	EBY-BROWN	Uptown Store (65).JPEG
Oat Bread Loaf	canned goods	LOCAL	Uptown Store (65).JPEG
Jif Peanut Butter Jar	canned goods	EBY-BROWN	Uptown Store (66).JPEG
Skippy Peanut Butter Jar	canned goods	EBY-BROWN	Uptown Store (66).JPEG
Pirouline Wafer Tin	snack candy	EBY-BROWN	Uptown Store (66).JPEG
Spice Jar (assorted)	canned goods	EBY-BROWN	Uptown Store (66).JPEG
Pasta Sauce Jar (assorted)	canned goods	EBY-BROWN	Uptown Store (66).JPEG
Vienna Sausages Can	canned goods	EBY-BROWN	Uptown Store (66).JPEG
