Sour Patch Kids Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Airheads Xtremes Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Starburst Bag	snack candy	EBY-BROWN	Uptown Store (46).JPEG
Sprite 20oz Bottle	CSD	COKE/PEPSI DSD	Uptown Store (47).JPEG
Coca-Cola 20oz Bottle	CSD	COKE/PEPSI DSD	Uptown Store (47).JPEG
Dr Pepper 20oz Bottle	CSD	COKE/PEPSI DSD	Uptown Store (47).JPEG
Mountain Dew 20oz Bottle	CSD	COKE/PEPSI DSD	Uptown Store (47).JPEG
Mexican Coca-Cola Glass Bottle 355ml	CSD	UNKNOWN	Uptown Store (47).JPEG
Jarritos Glass Bottle Variety	CSD	UNKNOWN	Uptown Store (47).JPEG
Sidral Mundet Apple Soda Glass Bottle	CSD	UNKNOWN	Uptown Store (47).JPEG
Topo Chico Sparkling Water Glass Bottle	water	COKE/PEPSI DSD	Uptown Store (47).JPEG
Fiji Natural Artesian Water 1L	water	KEHE	Uptown Store (48).JPEG
Evian Spring Water 1L	water	KEHE	Uptown Store (48).JPEG
Eternal Alkaline Water 1L	water	KEHE	Uptown Store (48).JPEG
Essentia Ionized Alkaline Water 1L	water	KEHE	Uptown Store (48).JPEG
Liquid Death Mountain Water 16.9oz Can	water	KEHE	Uptown Store (48).JPEG
Red Bull 8.4oz Can	energy	RED BULL	Uptown Store (48).JPEG
Monster Energy 16oz Can	energy	EBY-BROWN	Uptown Store (48).JPEG
Fun Times Punch RTD Can	RTD cocktail	UNKNOWN	Uptown Store (49).JPEG
Fun Times Tropical RTD Can	RTD cocktail	UNKNOWN	Uptown Store (49).JPEG
Mistic Tropical Drink Bottle	juice	UNKNOWN	Uptown Store (49).JPEG
Snapple Iced Tea 16oz Bottle	tea	KEHE	Uptown Store (49).JPEG
Modelo Especial 12oz Can	beer	CBS	Uptown Store (50).JPEG
Modelo Oro 12oz Can	beer	CBS	Uptown Store (50).JPEG
Pacifico 12oz Can	beer	CBS	Uptown Store (50).JPEG
Twisted Tea Original 24oz Can	malt FMB	CBS	Uptown Store (50).JPEG
White Claw Hard Seltzer 12oz Can	hard seltzer	CBS	Uptown Store (50).JPEG
Truly Hard Seltzer 12oz Can	hard seltzer	CBS	Uptown Store (50).JPEG
High Noon Vodka Seltzer 12oz Can	RTD cocktail	BREAKTHRU	Uptown Store (50).JPEG
Surfside Iced Tea Vodka 12oz Can	RTD cocktail	BREAKTHRU	Uptown Store (50).JPEG
